,...1,baseMean,log2FoldChange,lfcSE,pvalue,padj,regulate,Cluster
1,PFC10_API0028,7.82083618998692,-0.222259667630207,0.465868284463788,0.036134471364551,0.128916018074579,Normal,GroupA
2,PF3D7_0523800,533.86462481612,0.607522405254033,0.209869637978113,0.000520729107489,0.005490405929447,Normal,GroupB
3,PF3D7_1322000,167.601414047904,-0.146600428163159,0.194835057921131,0.340327608734825,0.562208370985731,Normal,GroupC
4,PF3D7_1477000,287.775742723297,-0.025090815222126,0.18752390300597,0.866635584142839,0.934403553387944,Normal,GroupD
5,PF3D7_0916400,512.160419997035,-0.037687546238124,0.230256236638743,0.824750588538945,0.912022489753028,Normal,GreopE
6,PF3D7_1250200,892.920788789611,0.134420787932777,0.147861822975727,0.272057919441405,0.491483438255237,Normal,GroupA
7,PF3D7_0923700,8.87740208535105,-0.213314333139172,0.35557022826632,0.259262440499078,0.478835929908347,Normal,GroupB
8,PF3D7_1207300,17.0939336865858,0.182575304409189,0.30266903574965,0.336703367782473,0.559798290275333,Normal,GroupC
9,PF3D7_1412000,37.8947841988344,-0.183594979947086,0.294243310551904,0.332268850342381,0.556857980666398,Normal,GroupD
10,PF3D7_1229700,14.7000106283486,-0.494290140310672,0.408733877937133,0.024341935888043,0.096549826057031,Normal,GreopE
11,PF3D7_0628100,592.555633536541,-0.112545705261878,0.174440245498736,0.424977857393213,0.639193079377581,Normal,GroupA
12,PF3D7_0906400,192.304950999225,0.522074334825066,0.242020774333289,0.005709561516802,0.033882971624299,Normal,GroupB
13,PF3D7_0928600,84.2365059324814,-1.1769413550998,0.253976239380667,4.40640459146796E-08,2.27140466934476E-06,Down,GroupC
14,PF3D7_0602700,52.5944763568736,0.072361780677985,0.242112851507048,0.678731200026946,0.82417533189714,Normal,GroupD
15,PF3D7_0310900,87.9512426617284,0.444079560402172,0.230117351925231,0.014124655944636,0.064668534383956,Normal,GreopE
16,PF3D7_0719400,605.334979284586,0.044060014393084,0.182216535698174,0.763161443928462,0.876438018745872,Normal,GroupA
17,PF3D7_1010700,2928.47808059206,-0.027859031522403,0.197332605619216,0.857269267753991,0.930453483152837,Normal,GroupB
18,PF3D7_0528300,124.29047131458,-0.30367834245076,0.205890666090693,0.064007564133405,0.19330426765539,Normal,GroupC
19,PF3D7_0504800,361.786582228225,-0.037011141294509,0.170214781373772,0.789582893989452,0.892100523171603,Normal,GroupD
20,PF3D7_1326300,3316.63094109676,0.205947118649571,0.203799632911304,0.197198354424772,0.406525081445146,Normal,GreopE
21,PF3D7_1225100,152.932014786655,-0.201587384710256,0.256393435930031,0.268260540104396,0.486687181011316,Normal,GroupA
22,PF3D7_1318100,118.029619695256,-0.194645700460521,0.17757900736327,0.176471714500986,0.37863212140939,Normal,GroupB
23,PF3D7_1127900,304.664889099755,0.10368524244918,0.150539589350185,0.404538722277097,0.621574777013196,Normal,GroupC
24,PF3D7_0810900.1,145.979839069456,-0.145373046995493,0.179559862849477,0.314311737320811,0.538225396925891,Normal,GroupD
25,PF3D7_1136800,307.262174802819,0.03181340163906,0.134039463949639,0.777969938920377,0.884500998395654,Normal,GreopE
26,PF3D7_1013600,330.596247538752,-0.065223073015045,0.246199822745277,0.710847495860832,0.843366162035775,Normal,GroupA
27,PF3D7_1214700,40.6401011585987,-0.081215305316079,0.245941505269365,0.644571070556434,0.802516042015159,Normal,GroupB
28,PF3D7_1459900,36.4568569400687,0.159407821834731,0.309162543394934,0.398744230609013,0.616510994745458,Normal,GroupC
29,PF3D7_1323900,1213.38701743198,0.320416739072078,0.124003441711728,0.004903357049741,0.03005104828453,Normal,GroupD
30,PF3D7_1147200,85.7316562170513,0.650560768051299,0.387980425537725,0.005748477766174,0.034002433845672,Normal,GreopE
31,PF3D7_0925900,6367.5552344098,-0.306105452380054,0.122678686979992,0.006437768861516,0.036503460019568,Normal,GroupA
32,PF3D7_0312800,6408.80382215773,-0.271286480916377,0.253358108959053,0.13936611426245,0.327175962146607,Normal,GroupB
33,PF3D7_1451800,1652.16663673215,0.148617056724878,0.189817453982947,0.324453876884393,0.548842539402572,Normal,GroupC
34,PF3D7_1124200,301.992553589369,-0.203749056318845,0.125016892308173,0.05925476678751,0.182918353414542,Normal,GroupD
35,PF3D7_0802400,1175.52821263687,0.386544874183162,0.1757105098125,0.010261603526783,0.051072875481606,Normal,GreopE
36,PF3D7_0524500,122.131481559465,-0.30870332662713,0.177952451264992,0.037828447164239,0.133468790189615,Normal,GroupA
37,PF3D7_1254600,4.31705086495173,0.206406021828814,0.43054169551781,0.161450275825523,0.35811887162279,Normal,GroupB
38,PF3D7_1027700.2,2.72481409790733,0.30350964807285,0.485193062175541,0.014434939682765,0.065646333733179,Normal,GroupC
39,PF3D7_0722100,496.660553753725,-0.076387841443177,0.184134874759248,0.60398144646384,0.773860135511716,Normal,GroupD
40,PF3D7_1310700,1238.17030568677,-0.701536799127973,0.169791200308319,3.14585527911837E-06,8.29223017748191E-05,Normal,GreopE
41,PF3D7_1439600,151.87049177145,-0.303606910872585,0.193079697631016,0.053283906548826,0.169596490363497,Normal,GroupA
42,PF3D7_1231500,251.642887691676,0.114346374260587,0.201367156692018,0.466922002442854,0.673051890964878,Normal,GroupB
43,PF3D7_0510400,231.85937809037,0.157691302350686,0.212482203233295,0.33438733100937,0.557590370475303,Normal,GroupC
44,PF3D7_1444700,69.8945461332762,-0.032897676189591,0.197171481305263,0.831715586779973,0.914803083210283,Normal,GroupD
45,PF3D7_0613600,307.908618745616,-0.103056856934385,0.199363880041325,0.508979367277429,0.701817664884824,Normal,GreopE
46,PF3D7_1233800,328.057346625644,0.11847741842694,0.219718948190083,0.47634906118579,0.681121282527636,Normal,GroupA
47,PF3D7_0111200,10.919444221985,0.009118835947021,0.329715750860059,0.95967611876654,0.978048296715899,Normal,GroupB
48,PF3D7_1209500.1,109.247170440931,-0.570369002221985,0.436207748515287,0.012121299826134,0.057685064027965,Normal,GroupC
49,PF3D7_0200300,1.02089026392999,0.005642053854561,0.422441395729598,0.959238920823121,0.978048296715899,Normal,GroupD
50,PF3D7_0502600,60.2385779217088,0.061530311550667,0.258087220801189,0.731311872896678,0.856747242681546,Normal,GreopE
51,PF3D7_0700600,3.74942441572256,-0.100547210718298,0.448198165391955,0.16576428373005,0.364118147513823,Normal,GroupA
52,PF3D7_0404300,5626.7974035207,0.259054297430174,0.265057509143803,0.165504654615384,0.363842216421673,Normal,GroupB
53,PF3D7_0801000,10090.0637170671,-0.110588014943055,0.14540092415837,0.358720232979297,0.578252729341209,Normal,GroupC
54,PF3D7_0216600,1069.74267246098,0.292747644727982,0.184763241681572,0.053995494095032,0.170959494423336,Normal,GroupD
55,PF3D7_0209200,685.226664269122,-0.207858434823057,0.140779491513922,0.082052724150286,0.227319536804108,Normal,GreopE
56,PF3D7_1204500,211.299772173533,-0.250109853851411,0.258153683969726,0.174843197562979,0.377480419566647,Normal,GroupA
57,PF3D7_0601900,3707.10631107375,-0.006472209477876,0.192274240891777,0.966065412276742,0.981302248866668,Normal,GroupB
58,PF3D7_0203900,93.6460388182809,-0.189184451049513,0.20855210867031,0.242502349046335,0.462192964310845,Normal,GroupC
59,PF3D7_0612600,545.490782076637,-0.12052364066193,0.13212688140453,0.273916335569986,0.493813314125173,Normal,GroupD
60,PF3D7_0216500,112.178151558512,-0.110009959001342,0.229053019770933,0.518297573981077,0.709084360472978,Normal,GreopE
61,PF3D7_1232300,27.9481020971361,0.133467189700589,0.249202468914754,0.453354426923762,0.661929157890839,Normal,GroupA
62,PF3D7_1329800,45.7206872114937,-0.884281678002338,0.367810830639294,0.000380411112525,0.004339563741623,Normal,GroupB
63,PF3D7_0933000,1255.83755775229,0.320404678937871,0.15856480936201,0.019625820491786,0.082355645494898,Normal,GroupC
64,PF3D7_1362600,61.20852489921,0.076024684345464,0.247435909438883,0.666565869073741,0.817032205207768,Normal,GroupD
65,PF3D7_0705700,3662.24192615644,-0.698568172199563,0.243116351283787,0.000320109869991,0.003811834636079,Normal,GreopE
66,PF3D7_0305400,109.516582476339,0.389144374294479,0.183415915361738,0.01215094836906,0.057760945175789,Normal,GroupA
67,PF3D7_1218700,23.3171502509568,0.134642882030615,0.31174240712927,0.472482943644327,0.678187254556885,Normal,GroupB
68,PF3D7_1241200,1464.89493455965,-0.047489479857308,0.183017290152284,0.746135662776603,0.867562451579647,Normal,GroupC
69,PF3D7_1112400,76.7329204775391,-1.01566858392369,0.35241508150301,5.71098687137071E-05,0.000948338186897,Down,GroupD
70,PF3D7_1208300,227.50173965192,-1.24339443457494,0.204343736454066,1.64272100196876E-11,1.93912500884573E-09,Down,GreopE
71,PF3D7_1237100,1143.41202126705,0.035737881507224,0.205905027612568,0.822559736909985,0.911276128440188,Normal,GroupA
72,PF3D7_1413700,686.23846541015,-0.205204262460478,0.257897402832163,0.261280715921719,0.480509002524489,Normal,GroupB
73,PF3D7_1437400,360.232867219727,0.165575488599224,0.170734285311054,0.233399306228793,0.451982251363176,Normal,GroupC
74,PF3D7_1020600,244.07980111541,0.020410426722134,0.237634815207994,0.905993126759497,0.955356357781534,Normal,GroupD
75,PF3D7_0611800,2201.37975580352,-0.235786637677198,0.264086034674907,0.203934644311019,0.416615921222285,Normal,GreopE
76,PF3D7_1307300,322.576725566966,0.354242196884563,0.170523047944814,0.015407904887186,0.068690413413318,Normal,GroupA
77,PF3D7_0111600,185.703278902144,-0.223672297131687,0.17475152256325,0.118013030376494,0.291675355004263,Normal,GroupB
78,PF3D7_0918800,951.293690311598,0.45346424710416,0.122488608056073,7.94163835745593E-05,0.00122938269741,Normal,GroupC
79,PF3D7_0104600,107.778213520476,-0.054884855126743,0.215503424446939,0.737906107570261,0.861498637735222,Normal,GroupD
80,PF3D7_1435100,61.7507886954819,-0.759717190573705,0.282114059330035,0.000375927812801,0.004324762761676,Normal,GreopE
